Dataset,#Training Release,%Training,%Defective in training,%Defective in testing,classifier,balancing,Feature Selection,TP,FP,TN,FN,Precision,Recall,ROC Area, Kappa
OPENJPA,6,0.781,0.032,0.031,IBk,3,1,54,432,1651,13,0.11,0.81,0.82,0.15
OPENJPA,6,0.781,0.032,0.031,NaiveBayes,4,1,23,7,2076,44,0.77,0.34,0.82,0.46
OPENJPA,6,0.781,0.032,0.031,RandomForest,4,1,23,7,2076,44,0.77,0.34,0.82,0.46
OPENJPA,6,0.781,0.032,0.031,IBk,4,1,23,7,2076,44,0.77,0.34,0.82,0.46
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,1,0,27,65,2027,93,0.29,0.23,0.70,0.22
OPENJPA,7,0.816,0.032,0.054,RandomForest,1,0,31,3,2089,89,0.91,0.26,0.80,0.39
OPENJPA,7,0.816,0.032,0.054,IBk,1,0,32,7,2085,88,0.82,0.27,0.79,0.39
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,2,0,32,92,2000,88,0.26,0.27,0.71,0.22
OPENJPA,7,0.816,0.032,0.054,RandomForest,2,0,41,15,2077,79,0.73,0.34,0.81,0.45
OPENJPA,7,0.816,0.032,0.054,IBk,2,0,38,40,2052,82,0.49,0.32,0.78,0.36
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,3,0,40,116,1976,80,0.26,0.33,0.73,0.24
OPENJPA,7,0.816,0.032,0.054,RandomForest,3,0,70,313,1779,50,0.18,0.58,0.82,0.21
OPENJPA,7,0.816,0.032,0.054,IBk,3,0,87,525,1567,33,0.14,0.72,0.73,0.16
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,4,0,18,11,2081,102,0.62,0.15,0.72,0.23
OPENJPA,7,0.816,0.032,0.054,RandomForest,4,0,18,11,2081,102,0.62,0.15,0.72,0.23
OPENJPA,7,0.816,0.032,0.054,IBk,4,0,18,11,2081,102,0.62,0.15,0.72,0.23
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,1,1,27,55,2037,93,0.33,0.23,0.64,0.23
OPENJPA,7,0.816,0.032,0.054,RandomForest,1,1,37,2,2090,83,0.95,0.31,0.77,0.45
OPENJPA,7,0.816,0.032,0.054,IBk,1,1,31,4,2088,89,0.89,0.26,0.74,0.38
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,2,1,36,98,1994,84,0.27,0.30,0.64,0.24
OPENJPA,7,0.816,0.032,0.054,RandomForest,2,1,52,70,2022,68,0.43,0.43,0.77,0.40
OPENJPA,7,0.816,0.032,0.054,IBk,2,1,46,72,2020,74,0.39,0.38,0.73,0.35
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,3,1,41,116,1976,79,0.26,0.34,0.64,0.25
OPENJPA,7,0.816,0.032,0.054,RandomForest,3,1,73,446,1646,47,0.14,0.61,0.74,0.15
OPENJPA,7,0.816,0.032,0.054,IBk,3,1,68,466,1626,52,0.13,0.57,0.68,0.13
OPENJPA,7,0.816,0.032,0.054,NaiveBayes,4,1,16,1,2091,104,0.94,0.13,0.64,0.22
OPENJPA,7,0.816,0.032,0.054,RandomForest,4,1,16,1,2091,104,0.94,0.13,0.64,0.22
OPENJPA,7,0.816,0.032,0.054,IBk,4,1,16,1,2091,104,0.94,0.13,0.64,0.22
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,1,0,34,62,2133,78,0.35,0.30,0.76,0.30
OPENJPA,8,0.839,0.036,0.049,RandomForest,1,0,43,47,2148,69,0.48,0.38,0.92,0.40
OPENJPA,8,0.839,0.036,0.049,IBk,1,0,51,54,2141,61,0.49,0.46,0.81,0.44
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,2,0,40,92,2103,72,0.30,0.36,0.76,0.29
OPENJPA,8,0.839,0.036,0.049,RandomForest,2,0,56,75,2120,56,0.43,0.50,0.92,0.43
OPENJPA,8,0.839,0.036,0.049,IBk,2,0,62,108,2087,50,0.36,0.55,0.82,0.40
OPENJPA,8,0.839,0.036,0.049,NaiveBayes,3,0,39,80,2115,73,0.33,0.35,0.75,0.30
OPENJPA,8,0.839,0.036,0.049,RandomForest,3,0,87,461,1734,25,0.16,0.78,0.88,0.20
